nombre,descripcion,orden,ra_sistema_id,abreviatura_id
a),Se han descrito los derechos de las corporaciones y los ciudadanos en relación con la presentación de documentos ante la Administración.,1,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_1
b),Se han definido el concepto y fases del procedimiento administrativo común de acuerdo con la normativa aplicable.,2,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_2
c),"Se han determinado las características, requisitos legales y de formato de los documentos oficiales más habituales, generados en cada una de las fases del procedimiento administrativo y recursos ante lo contencioso-administrativo.",3,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_3
d),Se ha valorado la importancia de los plazos de formulación de la documentación.,4,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_4
e),"Se ha recopilado la información necesaria para la elaboración de la documentación administrativa o judicial, de acuerdo con los objetivos del documento.",5,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_5
f),"Se han cumplimentado los impresos, modelos o documentación tipo, de acuerdo con los datos e información disponible y los requisitos legales establecidos.",6,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_6
g),"Se han preparado las renovaciones o acciones periódicas derivadas de las obligaciones con las administraciones públicas, para su presentación al organismo correspondiente.",7,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_7
h),"Se han descrito las características de la firma electrónica, sus efectos jurídicos, el proceso para su obtención y la normativa estatal y europea que la regula.",8,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_8
i),Se ha establecido el procedimiento para la solicitud de la certificación electrónica para la presentación de los modelos oficiales por vía telemática.,9,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_9
j),"Se han determinado los trámites y presentación de documentos tipo en los procesos y procedimientos de contratación pública y concesión de subvenciones, según las bases de las convocatorias y la normativa de aplicación.",10,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_10
k),"Se han determinado las condiciones de custodia de los documentos y expedientes relacionados con las administraciones públicas, garantizando su conservación e integridad.",11,GDJE_AFIN_AND_5,GDJE_AFIN_AND_5_11
a),"Se han determinado las diferentes actividades realizadas en la empresa, las personas implicadas y su responsabilidad en las mismas.",1,RRH_AFIN_AND_1,RRH_AFIN_AND_1_1
b),Se han identificado claramente las variables éticas y culturales de las organizaciones.,2,RRH_AFIN_AND_1,RRH_AFIN_AND_1_2
c),Se han evaluado las implicaciones entre competitividad empresarial y comportamiento ético.,3,RRH_AFIN_AND_1,RRH_AFIN_AND_1_3
d),"Se han definido estilos éticos de adaptación a los cambios empresariales, a la globalización y a la cultura social presente.",4,RRH_AFIN_AND_1,RRH_AFIN_AND_1_4
e),Se han seleccionado indicadores para el diagnóstico de las relaciones de las empresas y los interesados (stakeholders).,5,RRH_AFIN_AND_1,RRH_AFIN_AND_1_5
f),"Se han determinado elementos de mejora de las comunicaciones de las organizaciones externas e internas que promuevan la transparencia, la cooperación y la confianza.",6,RRH_AFIN_AND_1,RRH_AFIN_AND_1_6
a),Se ha definido el concepto de responsabilidad social corporativa (RSC).,1,RRH_AFIN_AND_2,RRH_AFIN_AND_2_1
b),"Se han analizado las recomendaciones y la normativa europea, de organizaciones intergubernamentales, así como la nacional con respecto a RSC y desarrollo de los recursos humanos.",2,RRH_AFIN_AND_2,RRH_AFIN_AND_2_2
c),"Se han analizado las políticas de recursos humanos en cuanto a motivación, mejora continua, promoción y recompensa, entre otros factores.",3,RRH_AFIN_AND_2,RRH_AFIN_AND_2_3
d),Se han descrito las buenas prácticas e iniciativas en cuanto a códigos de conducta relacionados con los derechos de los trabajadores.,4,RRH_AFIN_AND_2,RRH_AFIN_AND_2_4
e),Se han programado puntos de control para el contraste del cumplimiento de las políticas de RSC y códigos de conducta en la gestión de los recursos humanos.,5,RRH_AFIN_AND_2,RRH_AFIN_AND_2_5
a),Se han descrito las funciones que se deben desarrollar en el área de la empresa que se encarga de la gestión de recursos humanos.,1,RRH_AFIN_AND_3,RRH_AFIN_AND_3_1
b),Se han caracterizado habilidades de comunicación efectiva en los diferentes roles laborales.,2,RRH_AFIN_AND_3,RRH_AFIN_AND_3_2
c),"Se han establecido los canales de comunicación interna entre los distintos departamentos de la empresa, así como entre el personal y los departamentos.",3,RRH_AFIN_AND_3,RRH_AFIN_AND_3_3
d),Se ha analizado la información que proporcionan los sistemas de control de personal para la mejora de la gestión de la empresa.,4,RRH_AFIN_AND_3,RRH_AFIN_AND_3_4
e),Se ha mantenido actualizada la información precisa para el desarrollo de las funciones del departamento de recursos humanos.,5,RRH_AFIN_AND_3,RRH_AFIN_AND_3_5
f),Se ha establecido la manera de organizar y conservar la documentación del departamento de recursos humanos en soporte convencional e informático.,6,RRH_AFIN_AND_3,RRH_AFIN_AND_3_6
g),Se ha utilizado un sistema informático para el almacenamiento y tratamiento de la información en la gestión de los recursos humanos.,7,RRH_AFIN_AND_3,RRH_AFIN_AND_3_7
h),"Se ha valorado la importancia de la aplicación de criterios de seguridad, confidencialidad, integridad y accesibilidad en la tramitación de la información derivada de la administración de recursos humanos.",8,RRH_AFIN_AND_3,RRH_AFIN_AND_3_8
a),"Se han identificado los organismos y empresas relevantes en el mercado laboral, dedicados a la selección y formación de recursos humanos.",1,RRH_AFIN_AND_4,RRH_AFIN_AND_4_1
b),Se han secuenciado las fases de un proceso de selección de personal y sus características fundamentales.,2,RRH_AFIN_AND_4,RRH_AFIN_AND_4_2
c),Se ha identificado la información que se genera en cada una de las fases de un proceso de selección de personal.,3,RRH_AFIN_AND_4,RRH_AFIN_AND_4_3
d),Se ha valorado la importancia del reconocimiento del concepto de perfil del puesto de trabajo para seleccionar los currículos.,4,RRH_AFIN_AND_4,RRH_AFIN_AND_4_4
e),Se han establecidos las características de los métodos e instrumentos de selección de personal más utilizados en función del perfil del puesto de trabajo.,5,RRH_AFIN_AND_4,RRH_AFIN_AND_4_5
f),Se ha elaborado la documentación necesaria para llevar a cabo el proceso de selección.,6,RRH_AFIN_AND_4,RRH_AFIN_AND_4_6
g),Se han establecido las vías de comunicación orales y escritas con las personas que intervienen en el proceso de selección.,7,RRH_AFIN_AND_4,RRH_AFIN_AND_4_7
h),Se ha registrado y archivado la información y documentación relevante del proceso de selección.,8,RRH_AFIN_AND_4,RRH_AFIN_AND_4_8
a),Se han planificado las fases de los procesos de formación y promoción de personal.,1,RRH_AFIN_AND_5,RRH_AFIN_AND_5_1
b),Se han establecido las características de los métodos e instrumentos de los procesos de formación.,2,RRH_AFIN_AND_5,RRH_AFIN_AND_5_2
c),Se ha identificado la información que se genera en cada una de las fases de los procesos de formación y promoción de personal.,3,RRH_AFIN_AND_5,RRH_AFIN_AND_5_3
d),Se ha recabado información sobre las necesidades formativas de la empresa.,4,RRH_AFIN_AND_5,RRH_AFIN_AND_5_4
e),Se han detectado las necesidades de recursos materiales y humanos en el proceso de formación.,5,RRH_AFIN_AND_5,RRH_AFIN_AND_5_5
f),Se ha elaborado la documentación necesaria para efectuar los procesos de formación y promoción de personal.,6,RRH_AFIN_AND_5,RRH_AFIN_AND_5_6
g),Se han aplicado los procedimientos administrativos de seguimiento y evaluación de la formación.,7,RRH_AFIN_AND_5,RRH_AFIN_AND_5_7
h),Se han establecido los métodos de valoración del trabajo y de incentivos.,8,RRH_AFIN_AND_5,RRH_AFIN_AND_5_8
i),Se han establecido las vías de comunicaciones orales y escritas con las personas que intervienen en los procesos de formación y promoción.,9,RRH_AFIN_AND_5,RRH_AFIN_AND_5_9
j),Se ha registrado y archivado la información y documentación relevante de los procesos de formación y promoción de personal.,10,RRH_AFIN_AND_5,RRH_AFIN_AND_5_10
a),Se han realizado pruebas de funcionamiento de los equipos informáticos.,1,OPI_AFIN_AND_1,OPI_AFIN_AND_1_1
b),Se han comprobado las conexiones de los puertos de comunicación.,2,OPI_AFIN_AND_1,OPI_AFIN_AND_1_2
c),Se han identificado los elementos básicos (hardware y software) de un sistema en red.,3,OPI_AFIN_AND_1,OPI_AFIN_AND_1_3
d),Se han caracterizado los procedimientos generales de operaciones en un sistema de red.,4,OPI_AFIN_AND_1,OPI_AFIN_AND_1_4
e),Se han utilizado las funciones básicas del sistema operativo.,5,OPI_AFIN_AND_1,OPI_AFIN_AND_1_5
f),"Se han aplicado medidas de seguridad y confidencialidad, identificando el programa cortafuegos y el antivirus.",6,OPI_AFIN_AND_1,OPI_AFIN_AND_1_6
g),Se ha compartido información con otros usuarios de la red.,7,OPI_AFIN_AND_1,OPI_AFIN_AND_1_7
h),"Se han ejecutado funciones básicas de usuario (conexión, desconexión, optimización del espacio de almacenamiento, utilización de periféricos, comunicación con otros usuarios y conexión con otros sistemas o redes, entre otras).",8,OPI_AFIN_AND_1,OPI_AFIN_AND_1_8
a),Se han organizado los elementos y espacios de trabajo.,1,OPI_AFIN_AND_2,OPI_AFIN_AND_2_1
b),Se ha mantenido la postura corporal correcta.,2,OPI_AFIN_AND_2,OPI_AFIN_AND_2_2
c),Se ha identificado la posición correcta de los dedos en las filas del teclado alfanumérico.,3,OPI_AFIN_AND_2,OPI_AFIN_AND_2_3
d),Se han precisado las funciones de puesta en marcha del terminal informático.,4,OPI_AFIN_AND_2,OPI_AFIN_AND_2_4
e),Se han empleado coordinadamente las líneas del teclado alfanumérico y las teclas de signos y puntuación.,5,OPI_AFIN_AND_2,OPI_AFIN_AND_2_5
f),Se ha utilizado el método de escritura al tacto en párrafos de dificultad progresiva y en tablas sencillas.,6,OPI_AFIN_AND_2,OPI_AFIN_AND_2_6
g),Se ha utilizado el método de escritura al tacto para realizar textos en inglés.,7,OPI_AFIN_AND_2,OPI_AFIN_AND_2_7
h),Se ha mecanografiado con velocidad (mínimo 200 p.p.m.) y precisión (máximo una falta por minuto) con la ayuda de un programa informático.,8,OPI_AFIN_AND_2,OPI_AFIN_AND_2_8
i),Se han aplicado las normas de presentación de los distintos documentos de texto.,9,OPI_AFIN_AND_2,OPI_AFIN_AND_2_9
j),"Se han localizado y corregido los errores mecanográficos, ortográficos y sintácticos.",10,OPI_AFIN_AND_2,OPI_AFIN_AND_2_10
a),Se han detectado necesidades de información.,1,OPI_AFIN_AND_3,OPI_AFIN_AND_3_1
b),Se han identificado y priorizado las fuentes de obtención de información.,2,OPI_AFIN_AND_3,OPI_AFIN_AND_3_2
c),Se han elegido buscadores en Intranet y en Internet según criterios de rapidez y de opciones de búsqueda.,3,OPI_AFIN_AND_3,OPI_AFIN_AND_3_3
d),Se han empleado herramientas Web 2.0 para obtener y producir información.,4,OPI_AFIN_AND_3,OPI_AFIN_AND_3_4
e),Se han utilizado los criterios de búsqueda para restringir el número de resultados obtenidos.,5,OPI_AFIN_AND_3,OPI_AFIN_AND_3_5
f),"Se han aplicado sistemas de seguridad, protección, confidencialidad y restricción de la información.",6,OPI_AFIN_AND_3,OPI_AFIN_AND_3_6
g),"Se ha canalizado la información obtenida, archivándola y/o registrándola, en su caso.",7,OPI_AFIN_AND_3,OPI_AFIN_AND_3_7
h),Se han organizado los archivos para facilitar la búsqueda posterior.,8,OPI_AFIN_AND_3,OPI_AFIN_AND_3_8
i),Se ha actualizado la información necesaria.,9,OPI_AFIN_AND_3,OPI_AFIN_AND_3_9
j),Se han cumplido los plazos previstos.,10,OPI_AFIN_AND_3,OPI_AFIN_AND_3_10
k),Se han realizado copias de los archivos.,11,OPI_AFIN_AND_3,OPI_AFIN_AND_3_11
a),"Se han utilizado las prestaciones de la hoja de cálculo para realizar gestiones de tesorería, cálculos comerciales y otras operaciones administrativas.",1,OPI_AFIN_AND_4,OPI_AFIN_AND_4_1
b),Se han diseñado y elaborado documentos con la hoja de cálculo.,2,OPI_AFIN_AND_4,OPI_AFIN_AND_4_2
c),Se han relacionado y actualizado hojas de cálculo.,3,OPI_AFIN_AND_4,OPI_AFIN_AND_4_3
d),Se han creado y anidado fórmulas y funciones.,4,OPI_AFIN_AND_4,OPI_AFIN_AND_4_4
e),"Se han establecido contraseñas para proteger celdas, hojas y libros.",5,OPI_AFIN_AND_4,OPI_AFIN_AND_4_5
f),Se han obtenido gráficos para el análisis de la información.,6,OPI_AFIN_AND_4,OPI_AFIN_AND_4_6
g),Se han empleado macros para la realización de documentos y plantillas.,7,OPI_AFIN_AND_4,OPI_AFIN_AND_4_7
h),Se han importado y exportado hojas de cálculo creadas con otras aplicaciones y otros formatos.,8,OPI_AFIN_AND_4,OPI_AFIN_AND_4_8
i),"Se ha utilizado la hoja de cálculo como base de datos: formularios, creación de listas, filtrado, protección y ordenación de datos.",9,OPI_AFIN_AND_4,OPI_AFIN_AND_4_9
j),"Se han utilizado aplicaciones y periféricos para introducir textos, números, códigos e imágenes.",10,OPI_AFIN_AND_4,OPI_AFIN_AND_4_10
a),"Se han utilizado las funciones, prestaciones y procedimientos de los procesadores de textos y autoedición.",1,OPI_AFIN_AND_5,OPI_AFIN_AND_5_1
b),Se han identificado las características de cada tipo de documento.,2,OPI_AFIN_AND_5,OPI_AFIN_AND_5_2
c),Se han redactado documentos de texto con la destreza adecuada y aplicando las normas de estructura.,3,OPI_AFIN_AND_5,OPI_AFIN_AND_5_3
d),"Se han confeccionado plantillas adaptadas a los documentos administrativos tipo, incluyendo utilidades de combinación.",4,OPI_AFIN_AND_5,OPI_AFIN_AND_5_4
e),"Se han integrado objetos, gráficos, tablas, hojas de cálculo e hipervínculos, entre otros.",5,OPI_AFIN_AND_5,OPI_AFIN_AND_5_5
f),Se han detectado y corregido los errores cometidos.,6,OPI_AFIN_AND_5,OPI_AFIN_AND_5_6
g),Se ha recuperado y utilizado la información almacenada.,7,OPI_AFIN_AND_5,OPI_AFIN_AND_5_7
h),"Se han utilizado las funciones y utilidades que garanticen las normas de seguridad, integridad y confidencialidad de los datos.",8,OPI_AFIN_AND_5,OPI_AFIN_AND_5_8
a),Se han ordenado y clasificado los datos de las bases de datos para presentar la información.,1,OPI_AFIN_AND_6,OPI_AFIN_AND_6_1
b),Se han realizado consultas de bases de datos con criterios precisos.,2,OPI_AFIN_AND_6,OPI_AFIN_AND_6_2
c),Se han realizado informes de bases de datos con criterios precisos.,3,OPI_AFIN_AND_6,OPI_AFIN_AND_6_3
d),Se han realizado formularios con criterios precisos.,4,OPI_AFIN_AND_6,OPI_AFIN_AND_6_4
e),"Se han actualizado, fusionado y eliminado registros de las bases de datos.",5,OPI_AFIN_AND_6,OPI_AFIN_AND_6_5
f),Se han relacionado las bases de datos con otras aplicaciones informáticas para desarrollar las actividades que así lo requieran.,6,OPI_AFIN_AND_6,OPI_AFIN_AND_6_6
g),Se han protegido las bases de datos estableciendo niveles de seguridad.,7,OPI_AFIN_AND_6,OPI_AFIN_AND_6_7
h),Se ha elaborado una base de datos adaptada a los requerimientos de la organización.,8,OPI_AFIN_AND_6,OPI_AFIN_AND_6_8
a),"Se han gestionado de forma integrada bases de datos, textos e imágenes, entre otros, importando y exportando datos provenientes de hojas de cálculo y obteniendo documentos compuestos de todas estas posibilidades.",1,OPI_AFIN_AND_7,OPI_AFIN_AND_7_1
b),Se han seleccionado archivos audiovisuales de fuentes externas y se ha elegido el formato óptimo de éstos.,2,OPI_AFIN_AND_7,OPI_AFIN_AND_7_2
c),Se ha creado y mantenido un banco propio de recursos audiovisuales.,3,OPI_AFIN_AND_7,OPI_AFIN_AND_7_3
d),Se han personalizado los archivos audiovisuales en función del objetivo del documento que se quiere obtener.,4,OPI_AFIN_AND_7,OPI_AFIN_AND_7_4
e),Se ha respetado la legislación específica en materia de protección de archivos audiovisuales.,5,OPI_AFIN_AND_7,OPI_AFIN_AND_7_5
a),Se ha utilizado la aplicación de correo electrónico.,1,OPI_AFIN_AND_8,OPI_AFIN_AND_8_1
b),"Se ha identificado el emisor, destinatario y contenido en un mensaje de correo.",2,OPI_AFIN_AND_8,OPI_AFIN_AND_8_2
c),Se han aplicado filtros de protección de correo no deseado.,3,OPI_AFIN_AND_8,OPI_AFIN_AND_8_3
d),Se ha canalizado la información a todos los implicados.,4,OPI_AFIN_AND_8,OPI_AFIN_AND_8_4
e),Se ha comprobado la recepción del mensaje.,5,OPI_AFIN_AND_8,OPI_AFIN_AND_8_5
f),Se han organizado las bandejas de entrada y salida.,6,OPI_AFIN_AND_8,OPI_AFIN_AND_8_6
g),Se ha registrado la entrada o salida de correos.,7,OPI_AFIN_AND_8,OPI_AFIN_AND_8_7
h),"Se han impreso, archivado o eliminado los mensajes de correo.",8,OPI_AFIN_AND_8,OPI_AFIN_AND_8_8
i),Se han aplicado las funciones y utilidades que ofrece la agenda electrónica como método de organización del departamento.,9,OPI_AFIN_AND_8,OPI_AFIN_AND_8_9
j),Se han conectado y sincronizado agendas del equipo informático con dispositivos móviles.,10,OPI_AFIN_AND_8,OPI_AFIN_AND_8_10
a),Se ha realizado un análisis y selección de la información que se quiere incluir.,1,OPI_AFIN_AND_9,OPI_AFIN_AND_9_1
b),"Se han insertado distintos objetos (tablas, gráficos, hojas de cálculo, fotos, dibujos, organigramas, archivos de sonido y vídeo, entre otros).",2,OPI_AFIN_AND_9,OPI_AFIN_AND_9_2
c),Se ha distribuido la información de forma clara y estructurada.,3,OPI_AFIN_AND_9,OPI_AFIN_AND_9_3
d),Se han animado los objetos según el objetivo de la presentación.,4,OPI_AFIN_AND_9,OPI_AFIN_AND_9_4
e),Se han creado presentaciones para acompañar exposiciones orales.,5,OPI_AFIN_AND_9,OPI_AFIN_AND_9_5
f),Se han realizado presentaciones relacionadas con informes o documentación empresarial.,6,OPI_AFIN_AND_9,OPI_AFIN_AND_9_6
a),"Se han distinguido los distintos sectores económicos, basándose en la diversa tipología de actividades que se desarrollan en ellos.",1,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_1
b),Se han identificado las fases del ciclo económico de la actividad empresarial.,2,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_2
c),"Se han definido los conceptos de patrimonio, elemento patrimonial y masa patrimonial.",3,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_3
d),Se han clasificado un conjunto de elementos en masas patrimoniales.,4,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_4
e),"Se han identificado las masas patrimoniales que integran el activo, el pasivo exigible y el patrimonio neto.",5,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_5
f),"Se ha diferenciado entre inversión/financiación, inversión/gasto, gasto/pago e ingreso/cobro.",6,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_6
g),Se ha relacionado el patrimonio económico de la empresa con el patrimonio financiero y ambos con las fases del ciclo económico de la actividad empresarial.,7,PIAC_AFIN_AND_1,PIAC_AFIN_AND_1_7
a),"Se han distinguido las fases del ciclo contable completo, adaptándolas a la legislación española.",1,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_1
b),Se ha definido el concepto de cuenta como instrumento para representar los distintos elementos patrimoniales y hechos económicos de la empresa.,2,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_2
c),Se han determinado las características más importantes del método de contabilización por partida doble.,3,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_3
d),Se han reconocido los criterios de cargo y abono como método de registro de las modificaciones del valor de los elementos patrimoniales.,4,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_4
e),"Se ha definido el concepto de resultado contable, diferenciando las cuentas de ingresos y gastos.",5,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_5
f),Se ha reconocido el PGC como instrumento de armonización contable.,6,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_6
g),"Se han relacionado las distintas partes del PGC, diferenciando las obligatorias de las no obligatorias.",7,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_7
h),"Se han codificado un conjunto de elementos patrimoniales de acuerdo con los criterios del PGC, identificando su función en la asociación y desglose de la información contable.",8,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_8
i),"Se han identificado las cuentas anuales que establece el PGC, determinando la función que cumplen.",9,PIAC_AFIN_AND_2,PIAC_AFIN_AND_2_9
a),Se ha identificado la normativa fiscal básica.,1,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_1
b),"Se han clasificado los tributos, identificando las características básicas de los más significativos.",2,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_2
c),Se han identificado los elementos tributarios.,3,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_3
d),Se han identificado las características básicas de las normas mercantiles y fiscales aplicables a las operaciones de compraventa.,4,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_4
e),"Se han distinguido y reconocido las operaciones sujetas, exentas y no sujetas a IVA.",5,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_5
f),Se han diferenciado los regímenes especiales del IVA.,6,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_6
g),"Se han determinado las obligaciones de registro en relación con el Impuesto del Valor Añadido, así como los libros registros (voluntarios y obligatorios) para las empresas.",7,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_7
h),Se han calculado las cuotas liquidables del impuesto y elaborado la documentación correspondiente a su declaración-liquidación.,8,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_8
i),Se ha reconocido la normativa sobre la conservación de documentos e información.,9,PIAC_AFIN_AND_3,PIAC_AFIN_AND_3_9
a),Se han determinado los elementos del contrato mercantil de compraventa.,1,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_1
b),Se han establecido los flujos de documentación administrativa relacionados con la compraventa.,2,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_2
c),"Se han identificado y cumplimentado los documentos relativos a la compraventa en la empresa, precisando los requisitos formales que deben reunir.",3,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_3
d),"Se han reconocido los procesos de expedición y entrega de mercancías, así como la documentación administrativa asociada.",4,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_4
e),"Se ha verificado que la documentación comercial, recibida y emitida, cumple la legislación vigente y los procedimientos internos de una empresa.",5,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_5
f),Se han identificado los parámetros y la información que deben ser registrados en las operaciones de compraventa.,6,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_6
g),"Se ha valorado la necesidad de aplicar los sistemas de protección y salvaguarda de la información, así como criterios de calidad en el proceso administrativo.",7,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_7
h),"Se ha gestionado la documentación, manifestando rigor y precisión.",8,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_8
i),Se han utilizado aplicaciones informáticas específicas.,9,PIAC_AFIN_AND_4,PIAC_AFIN_AND_4_9
a),"Se han diferenciado los flujos de entrada y salida de tesorería, valorando los procedimientos de autorización de los pagos y gestión de los cobros.",1,PIAC_AFIN_AND_5,PIAC_AFIN_AND_5_1
b),"Se han identificado los medios de pago y cobro habituales en la empresa, así como sus documentos justificativos, diferenciando pago al contado y pago aplazado.",2,PIAC_AFIN_AND_5,PIAC_AFIN_AND_5_2
c),Se han comparado las formas de financiación comercial más habituales.,3,PIAC_AFIN_AND_5,PIAC_AFIN_AND_5_3
